relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,bug
org.jfree.chart.block.BlockResult,1,1,3,3,3,1,1,1,3,3,14,3,0,3,1,12,3,8,3,1,16,1,3,11,1,0.125,0,1,0,0,0,0,0,0,0,14,14,0,0
org.jfree.chart.util.BooleanList,1.2,2,4,6,3.4,1.2,6,1,5,5,22,5,0,5,4,20,6,13,6,2,23,2,3,17,2,0.201754386,0.8,1,4,0,0,8,4,52,0,27,24,0,0
org.jfree.chart.block.BorderArrangement,7,13,2,70,35.3,26.3,6,6,10,10,20,10,5,5,21,361,263,234,156,1,21,1,9,10,1,0.18030303,16.7,11,167,0,0,170,61,358,170,61,42,67,1
org.jfree.data.statistics.BoxAndWhiskerCalculator,5.5,11,1,22,28.5,19.75,0,0,0,4,15,4,0,4,5,116,79,74,43,1,17,1,4,11,1,0.133333333,2,6,8,0,0,37,8,54,37,19,18,10,0
org.jfree.data.statistics.BoxAndWhiskerItem,1.923076923,12,11,25,7.692307692,4,10,10,13,13,22,13,0,13,19,112,52,70,45,1,22,1,11,9,1,0.213383838,0.692307692,4,9,1,1,27,9,81,27,23,23,4,0
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,3.380952381,20,14,71,22.04761905,15.71428571,74,5,21,21,232,21,6,15,57,471,330,301,164,3,233,3,18,211,3,0.352626114,7.476190476,26,157,1,1,269,128,495,183,431,348,65,0
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,1.75,3,2,7,8.75,5.25,10,2,4,4,27,4,1,3,6,43,21,28,17,3,29,3,2,23,3,0.36,2.75,6,11,0,0,6,3,12,0,34,31,2,0
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,2,3,2,8,10.25,6.25,11,2,4,4,33,4,1,3,7,47,25,30,19,3,35,3,2,29,3,0.35483871,3.5,5,14,0,0,10,6,18,0,40,38,3,0
org.jfree.chart.labels.BubbleXYItemLabelGenerator,2.1,6,5,21,9.6,5.8,11,4,10,10,31,10,1,9,18,103,58,67,42,2,31,2,7,21,2,0.347222222,1.8,8,18,2,2,32,14,109,12,36,35,12,0
org.jfree.data.io.CSV,2.666666667,4,2,16,14.16666667,9.833333333,2,2,6,6,17,6,3,3,8,89,59,61,33,1,19,1,6,11,1,0.142857143,0.5,6,3,0,0,9,3,8,9,30,19,8,0
org.jfree.chart.renderer.xy.CandlestickRenderer,2.633333333,26,19,79,13.06666667,8.266666667,84,16,30,30,238,30,2,28,35,411,248,272,172,3,238,3,26,208,3,0.413696716,2.2,24,66,3,1,113,50,388,80,386,330,36,0
org.jfree.chart.axis.CategoryAnchor,2.5,4,2,10,7.75,4.25,5,5,4,4,13,4,2,2,2,41,17,27,16,1,13,1,2,9,1,0.171717172,0,1,0,3,1,0,0,0,0,13,13,0,0
org.jfree.chart.axis.CategoryAxis,2.625,14,24,126,12.95833333,8.354166667,55,13,48,48,116,48,11,37,90,637,401,407,258,2,115,2,41,68,2,0.248042328,3.416666667,37,164,4,2,239,126,881,178,214,171,107,0
org.jfree.chart.axis.CategoryAxis3D,3,7,3,15,16.6,10.6,56,1,5,5,113,5,0,5,12,87,53,52,28,3,114,3,2,108,3,0.397897898,7,10,35,0,0,44,16,217,7,212,167,14,0
org.jfree.chart.plot.CategoryCrosshairState,1.857142857,4,5,13,8,4.714285714,12,2,7,7,42,7,0,7,14,60,33,42,24,2,45,2,7,35,2,0.194444444,1.571428571,3,11,0,0,14,9,18,0,42,42,4,0
org.jfree.data.xml.CategoryDatasetHandler,1.8,4,3,9,7.4,3.4,2,1,5,5,22,5,0,5,10,40,17,23,13,3,26,3,5,17,3,0.208333333,1.8,6,9,1,1,15,7,47,12,42,26,3,0
org.jfree.chart.entity.CategoryItemEntity,1.777777778,6,6,16,6,3.111111111,8,4,9,9,30,9,0,9,10,61,28,41,26,2,31,2,7,21,2,0.390096618,0.333333333,5,3,0,0,9,3,35,3,35,35,1,0
