relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
jscomp.ReorderConstantExpression,4,4,0,4,18,13,1,0,1,1,24,1,0,1,1,21,13,13,8,2,26,2,0,23,2,0.013888889,11,3,11,0,0,14,11,38,13,63,43,4,21,0,0,0
jscomp.ReplaceCssNames,1,1,3,3,5.333333333,2.666666667,10,10,3,3,14,3,1,2,5,135,8,81,52,1,16,1,3,11,1,0.125,1.333333333,10,4,8,5,8,4,7,8,57,18,13,28,23,5,0
jscomp.ReplaceIdGenerators,3.428571429,8,1,24,16.28571429,11.14285714,10,10,7,7,18,7,3,4,14,289,78,184,115,1,20,1,7,11,1,0.145833333,1.714285714,15,12,9,3,21,10,31,21,67,27,24,239,19,0,0
jscomp.ReplaceMessages,4,7,2,36,20.11111111,14,29,3,9,9,28,9,6,3,22,190,126,111,71,3,31,3,8,19,3,0.238888889,11,17,99,1,1,134,77,327,111,216,78,45,26,19,10,0
jscomp.ReplaceMessagesForChrome,2.6,6,2,13,12.2,7.6,26,0,4,5,25,5,4,1,12,64,38,43,24,3,29,3,5,20,3,0.208333333,7,14,35,0,0,61,31,157,53,151,69,21,64,0,0,0
jscomp.ReplaceStrings,3,10,4,54,13.5,9.333333333,12,12,17,18,29,18,13,5,33,302,168,218,118,2,32,2,18,11,2,0.210526316,4,19,72,8,7,84,55,246,84,170,65,66,30,25,1,0
jscomp.RescopeGlobalSymbols,1.25,2,3,5,7,4.25,6,6,4,4,15,4,1,3,7,163,17,106,63,1,17,1,4,11,1,0.133333333,2.5,11,10,2,2,27,10,28,27,70,22,8,163,0,0,0
jscomp.Result,1,1,2,2,15,8,13,13,2,2,13,2,0,2,21,45,16,30,14,1,15,1,2,11,1,0.111111111,0,4,0,9,5,0,0,0,0,13,13,25,2,3,0,0
jscomp.RhinoErrorReporter,1.285714286,3,6,9,7.142857143,4.428571429,8,8,5,7,18,7,3,4,17,136,31,61,27,1,22,1,7,11,1,0.145833333,1.142857143,8,8,8,3,17,6,10,17,25,23,17,50,27,3,0
jscomp.RuntimeTypeCheck,1.25,2,3,5,7,4.75,3,3,4,4,15,4,2,2,5,232,19,140,84,1,17,1,4,11,1,0.133333333,3.25,9,13,2,2,26,13,26,26,72,25,8,12,58,14,0
jscomp.SanityCheck,2,4,3,12,8.666666667,5.5,4,4,6,6,17,6,4,2,10,67,33,42,25,1,19,1,6,11,1,0.142857143,4.5,16,27,4,3,54,26,96,54,208,35,16,13,13,3,0
jscomp.Scope,1.285714286,3,23,36,4.607142857,2.357142857,7,7,26,28,39,28,1,27,23,311,66,198,107,1,41,1,28,11,1,0.16091954,0.464285714,10,13,5,5,18,9,24,18,56,47,30,125,29,34,0
jscomp.ScopedAliases,3,7,2,9,13.66666667,9,11,11,3,3,14,3,0,3,7,324,27,211,115,1,16,1,3,11,1,0.125,7.666666667,10,23,10,4,27,22,65,27,73,26,22,135,42,17,4
rhino.ScriptRuntime,6.818181818,33,5,75,22.36363636,17,2,2,1,11,22,11,1,10,17,253,187,205,149,1,24,1,11,11,1,0.152777778,0.090909091,10,1,0,0,2,1,405,2,23,23,3,1,13,169,0
jscomp.jsonml.SecureCompiler,1.5,4,6,12,8.625,6.125,7,7,8,8,19,8,1,7,2,100,49,75,43,1,21,1,8,11,1,0.148148148,3.875,15,31,4,4,27,12,187,27,335,30,18,100,0,0,0
jscomp.type.SemanticReverseAbstractInterpreter,6.333333333,38,3,76,26,18.91666667,11,5,12,12,34,12,10,2,46,445,227,243,158,2,37,2,12,22,2,0.205128205,10.25,15,123,5,1,149,79,482,65,91,57,54,445,0,0,0
jscomp.ShadowVariables,1.5,2,1,3,9,4.5,7,7,2,2,13,2,0,2,6,138,9,97,63,1,15,1,2,11,1,0.111111111,1,6,2,7,4,8,2,6,8,53,14,13,138,0,0,0
jscomp.ShowByPathWarningsGuard,1.166666667,2,5,7,4.166666667,2,2,2,6,6,19,6,1,5,7,35,12,21,10,2,20,2,4,13,2,0.388888889,1.5,6,9,1,1,9,4,20,9,25,23,6,5,5,11,0
jscomp.SideEffectsAnalysis,3.363636364,11,5,37,14.09090909,9.454545455,4,4,7,11,22,11,7,4,18,454,104,267,136,1,24,1,11,11,1,0.152777778,3.090909091,15,34,4,4,28,18,85,28,85,37,37,454,0,0,0
jscomp.SimpleDefinitionFinder,3.285714286,8,6,46,12.5,8.357142857,4,4,10,14,25,14,3,11,14,282,117,185,115,1,27,1,14,11,1,0.155555556,3.642857143,13,51,4,3,62,45,175,62,79,40,39,157,20,0,0
jscomp.deps.SimpleDependencyInfo,1.142857143,2,6,8,5.142857143,2.714285714,4,4,7,7,16,7,0,7,5,48,19,25,12,1,16,1,5,9,1,0.199494949,0,2,0,2,1,0,0,0,0,16,16,6,0,0,0,0
rhino.SimpleErrorReporter,2,4,2,10,8,4.4,2,2,5,5,16,5,1,4,12,46,22,28,18,1,18,1,5,11,1,0.138888889,0,3,0,2,1,0,0,0,0,16,16,4,2,22,12,0
jscomp.SimpleFunctionAliasAnalysis,3,5,2,12,10.75,7,2,2,4,4,15,4,1,3,5,47,28,34,20,1,17,1,4,11,1,0.133333333,3.5,6,14,2,1,11,10,21,11,26,22,13,47,0,0,0
rhino.jstype.SimpleReference,1.4,3,4,7,3.6,1.6,2,2,5,5,15,5,0,5,2,27,8,16,6,1,18,1,4,10,1,0.163636364,0.8,4,4,2,2,4,4,26,4,26,19,6,27,0,0,0
jscomp.SimpleRegion,1,1,4,4,3.75,1.5,3,3,4,4,15,4,0,4,3,23,6,14,6,1,17,1,4,11,1,0.133333333,0,2,0,0,0,0,0,0,0,15,15,0,3,0,0,0
rhino.jstype.SimpleSlot,1,1,6,6,3.333333333,1.333333333,4,4,6,6,17,6,0,6,3,31,8,19,8,1,21,1,6,11,1,0.142857143,0,5,0,1,1,0,0,0,0,17,17,4,12,1,0,0
jscomp.testing.SimpleSourceExcerptProvider,1,1,3,3,3,1,1,1,3,3,14,3,0,3,5,14,3,8,3,1,16,1,3,11,1,0.125,1,4,3,1,1,9,3,70,9,27,17,1,0,0,0,0
rhino.jstype.SimpleSourceFile,1.142857143,2,6,8,3.714285714,1.571428571,2,2,7,7,17,7,0,7,5,36,11,20,10,1,18,1,6,10,1,0.173160173,0,4,0,0,0,0,0,0,0,17,17,0,36,0,0,0
jscomp.deps.SortedDependencies,3.25,8,5,39,12.58333333,7.833333333,4,4,11,12,23,12,5,7,17,167,94,121,68,1,25,1,12,11,1,0.153846154,0.5,5,6,4,2,4,2,4,4,25,25,53,21,2,0,0
jscomp.SourceFile,1.64516129,9,24,51,6.129032258,3.35483871,7,7,20,31,41,31,2,29,32,314,104,205,115,1,50,1,30,10,1,0.191593353,0.580645161,9,18,0,0,47,18,45,47,55,51,12,115,26,17,1
jscomp.SourceInformationAnnotator,4,9,1,12,13,8.666666667,2,2,3,3,15,3,0,3,7,45,26,28,19,2,18,2,3,12,2,0.166666667,5.666666667,6,17,0,0,14,11,48,14,31,24,6,13,12,2,0
jscomp.SourceMap,1.777777778,6,7,16,7,3.888888889,3,3,9,9,20,9,2,7,12,122,35,65,34,1,22,1,9,11,1,0.15,1,4,9,3,3,6,5,15,6,28,24,9,4,105,125,1
rhino.SourcePosition,1.428571429,4,6,10,5.714285714,3.142857143,5,5,7,7,18,7,0,7,5,47,22,28,15,1,24,1,7,11,1,0.145833333,0,1,0,1,1,0,0,0,0,18,18,3,15,0,0,0
jscomp.SpecializeModule,2.888888889,5,2,26,15.33333333,10.22222222,5,5,9,9,20,9,6,3,10,293,92,203,108,1,22,1,9,11,1,0.15,4.555555556,14,41,5,4,55,36,205,55,126,49,46,293,0,0,0
